keywords,bid,views,clicks,conversions,total costs
personalized notebook,22,4170,673.0,85.0,14806.0
vintage notebook,17,2865,186.0,12.0,3162.0
plain paper,12,2057,225.0,25.0,2700.0
large notebook,15,2955,283.0,20.0,4245.0
notebook with pockets,22,1581,308.0,22.0,6776.0
leather cover notebook,23,3218,200.0,20.0,4600.0
notebook with pockets,22,2389,466.0,33.0,10252.0
notebook with pockets,22,1783,348.0,24.0,7656.0
notebook with pockets,22,4130,805.0,56.0,17710.0
plain paper,12,1180,129.0,15.0,1548.0
plain paper,12,1018,112.0,13.0,1344.0
leather cover notebook,23,2249,140.0,14.0,3220.0
kids notebook,14,4544,569.0,29.0,7966.0
kids notebook,14,4166,521.0,26.0,7294.0
college ruled notebook,23,3928,579.0,43.0,13317.0
plain paper,12,4368,478.0,54.0,5736.0
personalized notebook,22,2616,422.0,53.0,9284.0
graph paper notebook,21,3222,333.0,40.0,6993.0
spiral bound notebook,22,2245,389.0,23.0,8558.0
travelers notebook,19,2638,362.0,27.0,6878.0
notebook with pockets,22,1053,205.0,14.0,4510.0
graph paper notebook,21,3742,387.0,46.0,8127.0
leather cover notebook,23,3910,243.0,24.0,5589.0
engineering notebook,21,2426,278.0,16.0,5838.0
plain paper,12,4389,481.0,54.0,5772.0
graph paper notebook,21,4938,511.0,61.0,10731.0
travelers notebook,19,3396,466.0,34.0,8854.0
softcover notebook,19,1442,120.0,13.0,2280.0
softcover notebook,19,3880,322.0,34.0,6118.0
kids notebook,14,1579,198.0,10.0,2772.0
dotted grid notebook,21,4611,336.0,48.0,7056.0
graph paper notebook,21,4857,503.0,60.0,10563.0
softcover notebook,19,1281,106.0,11.0,2014.0
large notebook,15,3407,327.0,23.0,4905.0
engineering notebook,21,3962,454.0,27.0,9534.0
spiral bound notebook,22,1822,316.0,18.0,6952.0
college ruled notebook,23,4702,694.0,52.0,15962.0
large notebook,15,3939,378.0,27.0,5670.0
college ruled notebook,23,4000,590.0,44.0,13570.0
engineering notebook,21,2669,306.0,18.0,6426.0
vintage notebook,17,1640,106.0,7.0,1802.0
engineering notebook,21,2031,233.0,14.0,4893.0
dotted grid notebook,21,3016,220.0,32.0,4620.0
kids notebook,14,1562,195.0,10.0,2730.0
notebook with pen holder,25,3538,340.0,47.0,8500.0
vintage notebook,17,1340,87.0,5.0,1479.0
art sketchbook,15,1471,143.0,10.0,2145.0
notebook with pen holder,25,4864,467.0,64.0,11675.0
kids notebook,14,2710,339.0,17.0,4746.0
travelers notebook,19,4766,654.0,48.0,12426.0
art sketchbook,15,4775,465.0,33.0,6975.0
recycled paper notebook,24,3296,433.0,34.0,10392.0
large notebook,15,1234,118.0,8.0,1770.0
vintage notebook,17,2106,137.0,8.0,2329.0
softcover notebook,19,2116,176.0,19.0,3344.0
softcover notebook,19,2908,241.0,26.0,4579.0
engineering notebook,21,2417,277.0,16.0,5817.0
notebook with pockets,22,1823,355.0,25.0,7810.0
plain paper,12,2291,251.0,28.0,3012.0
kids notebook,14,4488,562.0,28.0,7868.0
softcover notebook,19,1631,135.0,14.0,2565.0
personalized notebook,22,4654,751.0,95.0,16522.0
leather cover notebook,23,1528,95.0,9.0,2185.0
leather cover notebook,23,4324,269.0,27.0,6187.0
dotted grid notebook,21,2980,217.0,31.0,4557.0
dotted grid notebook,21,3169,231.0,33.0,4851.0
large notebook,15,3939,378.0,27.0,5670.0
college ruled notebook,23,3057,451.0,34.0,10373.0
softcover notebook,19,4870,404.0,43.0,7676.0
softcover notebook,19,2339,194.0,21.0,3686.0
large notebook,15,3885,372.0,27.0,5580.0
engineering notebook,21,2296,263.0,15.0,5523.0
kids notebook,14,2329,291.0,15.0,4074.0
engineering notebook,21,4876,559.0,33.0,11739.0
travelers notebook,19,2233,307.0,23.0,5833.0
notebook with pockets,22,2981,581.0,41.0,12782.0
notebook with pen holder,25,2753,264.0,36.0,6600.0
spiral bound notebook,22,3800,658.0,38.0,14476.0
graph paper notebook,21,3933,407.0,49.0,8547.0
notebook with pen holder,25,3511,337.0,46.0,8425.0
engineering notebook,21,3759,431.0,25.0,9051.0
large notebook,15,3775,362.0,26.0,5430.0
softcover notebook,19,3764,312.0,33.0,5928.0
large notebook,15,2948,283.0,20.0,4245.0
art sketchbook,15,4487,437.0,31.0,6555.0
waterproof notebook,20,4287,796.0,65.0,15920.0
art sketchbook,15,3127,305.0,22.0,4575.0
plain paper,12,4850,531.0,60.0,6372.0
large notebook,15,3527,338.0,24.0,5070.0
softcover notebook,19,1901,158.0,17.0,3002.0
dotted grid notebook,21,1890,138.0,20.0,2898.0
spiral bound notebook,22,2570,445.0,26.0,9790.0
kids notebook,14,2824,353.0,18.0,4942.0
spiral bound notebook,22,3065,531.0,31.0,11682.0
kids notebook,14,2188,274.0,14.0,3836.0
waterproof notebook,20,2548,473.0,38.0,9460.0
softcover notebook,19,1201,100.0,11.0,1900.0
engineering notebook,21,1740,200.0,12.0,4200.0
notebook with pen holder,25,2369,227.0,31.0,5675.0
vintage notebook,17,2389,155.0,10.0,2635.0
large notebook,15,3000,288.0,21.0,4320.0
notebook with pockets,22,2471,482.0,34.0,10604.0
kids notebook,14,2536,317.0,16.0,4438.0
softcover notebook,19,1318,109.0,12.0,2071.0
personalized notebook,22,3264,527.0,66.0,11594.0
college ruled notebook,23,2057,303.0,23.0,6969.0
waterproof notebook,20,2894,537.0,44.0,10740.0
graph paper notebook,21,3313,343.0,41.0,7203.0
graph paper notebook,21,4711,487.0,58.0,10227.0
academic planner notebook,26,1723,146.0,13.0,3796.0
college ruled notebook,23,3822,564.0,42.0,12972.0
notebook with pen holder,25,4895,470.0,64.0,11750.0
plain paper,12,4151,455.0,51.0,5460.0
kids notebook,14,2700,338.0,17.0,4732.0
hardcover notebook,19,1412,148.0,20.0,2812.0
kids notebook,14,2275,285.0,14.0,3990.0
leather cover notebook,23,4083,254.0,25.0,5842.0
softcover notebook,19,1400,116.0,12.0,2204.0
college ruled notebook,23,2839,419.0,31.0,9637.0
spiral bound notebook,22,1723,298.0,17.0,6556.0
large notebook,15,3329,319.0,23.0,4785.0
notebook with pockets,22,2135,416.0,29.0,9152.0
notebook with pockets,22,3770,735.0,51.0,16170.0
personalized notebook,22,4449,718.0,91.0,15796.0
waterproof notebook,20,1750,325.0,26.0,6500.0
graph paper notebook,21,1267,131.0,16.0,2751.0
large notebook,15,4988,478.0,34.0,7170.0
dotted grid notebook,21,3345,244.0,35.0,5124.0
leather cover notebook,23,2340,145.0,14.0,3335.0
notebook with pockets,22,1569,306.0,21.0,6732.0
waterproof notebook,20,3556,660.0,54.0,13200.0
large notebook,15,2973,285.0,20.0,4275.0
kids notebook,14,1545,193.0,10.0,2702.0
engineering notebook,21,3822,438.0,26.0,9198.0
kids notebook,14,1364,171.0,9.0,2394.0
large notebook,15,1546,148.0,11.0,2220.0
art sketchbook,15,1270,124.0,9.0,1860.0
recycled paper notebook,24,4545,597.0,46.0,14328.0
large notebook,15,1738,167.0,12.0,2505.0
notebook with pen holder,25,3584,344.0,47.0,8600.0
waterproof notebook,20,2257,419.0,34.0,8380.0
art sketchbook,15,1058,103.0,7.0,1545.0
hardcover notebook,19,2274,238.0,32.0,4522.0
plain paper,12,2870,314.0,36.0,3768.0
recycled paper notebook,24,1085,142.0,11.0,3408.0
plain paper,12,1762,193.0,22.0,2316.0
notebook with pockets,22,1389,271.0,19.0,5962.0
notebook with pen holder,25,2203,211.0,29.0,5275.0
kids notebook,14,1718,215.0,11.0,3010.0
dotted grid notebook,21,3903,285.0,41.0,5985.0
travelers notebook,19,1148,158.0,12.0,3002.0
softcover notebook,19,1582,131.0,14.0,2489.0
vintage notebook,17,1120,73.0,5.0,1241.0
recycled paper notebook,24,3812,500.0,39.0,12000.0
large notebook,15,3652,350.0,25.0,5250.0
art sketchbook,15,3303,322.0,23.0,4830.0
academic planner notebook,26,1765,150.0,13.0,3900.0
vintage notebook,17,3911,254.0,16.0,4318.0
spiral bound notebook,22,1799,312.0,18.0,6864.0
academic planner notebook,26,4380,371.0,33.0,9646.0
engineering notebook,21,3106,356.0,21.0,7476.0
kids notebook,14,2021,253.0,13.0,3542.0
notebook with pen holder,25,4140,397.0,54.0,9925.0
waterproof notebook,20,2469,458.0,37.0,9160.0
softcover notebook,19,3435,285.0,31.0,5415.0
waterproof notebook,20,2109,392.0,32.0,7840.0
personalized notebook,22,3833,619.0,78.0,13618.0
college ruled notebook,23,2250,332.0,25.0,7636.0
hardcover notebook,19,3640,381.0,51.0,7239.0
plain paper,12,2649,290.0,33.0,3480.0
plain paper,12,4255,466.0,53.0,5592.0
college ruled notebook,23,2815,415.0,31.0,9545.0
notebook with pockets,22,2345,457.0,32.0,10054.0
engineering notebook,21,3956,454.0,27.0,9534.0
recycled paper notebook,24,2341,307.0,24.0,7368.0
graph paper notebook,21,3613,374.0,45.0,7854.0
hardcover notebook,19,3446,361.0,49.0,6859.0
travelers notebook,19,2732,375.0,28.0,7125.0
leather cover notebook,23,1898,118.0,12.0,2714.0
kids notebook,14,4364,546.0,28.0,7644.0
notebook with pen holder,25,3340,321.0,44.0,8025.0
personalized notebook,22,1484,240.0,30.0,5280.0
personalized notebook,22,4970,802.0,101.0,17644.0
leather cover notebook,23,4518,281.0,28.0,6463.0
vintage notebook,17,1802,117.0,7.0,1989.0
spiral bound notebook,22,2715,470.0,27.0,10340.0
graph paper notebook,21,2915,302.0,36.0,6342.0
academic planner notebook,26,4483,380.0,34.0,9880.0
engineering notebook,21,4579,525.0,31.0,11025.0
hardcover notebook,19,2757,289.0,39.0,5491.0
large notebook,15,2809,269.0,19.0,4035.0
notebook with pen holder,25,3937,378.0,52.0,9450.0
engineering notebook,21,3291,377.0,22.0,7917.0
softcover notebook,19,2443,203.0,22.0,3857.0
academic planner notebook,26,2952,250.0,22.0,6500.0
art sketchbook,15,4007,391.0,28.0,5865.0
recycled paper notebook,24,4225,555.0,43.0,13320.0
college ruled notebook,23,3863,570.0,43.0,13110.0
notebook with pockets,22,4495,876.0,61.0,19272.0
college ruled notebook,23,3320,490.0,37.0,11270.0
leather cover notebook,23,2670,166.0,16.0,3818.0
dotted grid notebook,21,2848,208.0,30.0,4368.0
personalized notebook,22,1519,245.0,31.0,5390.0
kids notebook,14,2151,269.0,14.0,3766.0
kids notebook,14,2396,300.0,15.0,4200.0
hardcover notebook,19,3615,379.0,51.0,7201.0
plain paper,12,3685,404.0,46.0,4848.0
softcover notebook,19,3206,266.0,28.0,5054.0
notebook with pen holder,25,4642,445.0,61.0,11125.0
academic planner notebook,26,4641,393.0,35.0,10218.0
kids notebook,14,1651,207.0,10.0,2898.0
softcover notebook,19,3223,267.0,29.0,5073.0
vintage notebook,17,2950,192.0,12.0,3264.0
leather cover notebook,23,3667,228.0,22.0,5244.0
large notebook,15,1210,116.0,8.0,1740.0
personalized notebook,22,3494,564.0,71.0,12408.0
softcover notebook,19,1585,131.0,14.0,2489.0
college ruled notebook,23,1166,172.0,13.0,3956.0
leather cover notebook,23,3507,218.0,22.0,5014.0
waterproof notebook,20,3963,736.0,60.0,14720.0
leather cover notebook,23,4428,275.0,27.0,6325.0
hardcover notebook,19,4375,459.0,62.0,8721.0
notebook with pockets,22,2256,440.0,31.0,9680.0
waterproof notebook,20,4398,817.0,66.0,16340.0
engineering notebook,21,4955,568.0,33.0,11928.0
leather cover notebook,23,2205,137.0,14.0,3151.0
personalized notebook,22,4705,759.0,96.0,16698.0
softcover notebook,19,4405,365.0,39.0,6935.0
softcover notebook,19,2738,227.0,24.0,4313.0
vintage notebook,17,2052,133.0,8.0,2261.0
spiral bound notebook,22,1713,297.0,17.0,6534.0
kids notebook,14,4164,521.0,26.0,7294.0
leather cover notebook,23,3888,242.0,24.0,5566.0
recycled paper notebook,24,3915,514.0,40.0,12336.0
leather cover notebook,23,1687,105.0,10.0,2415.0
spiral bound notebook,22,1329,230.0,13.0,5060.0
plain paper,12,2746,301.0,34.0,3612.0
engineering notebook,21,2207,253.0,15.0,5313.0
recycled paper notebook,24,3142,412.0,32.0,9888.0
college ruled notebook,23,1784,263.0,20.0,6049.0
kids notebook,14,3696,462.0,23.0,6468.0
leather cover notebook,23,4820,300.0,30.0,6900.0
academic planner notebook,26,3400,288.0,26.0,7488.0
spiral bound notebook,22,3977,689.0,40.0,15158.0
softcover notebook,19,1940,161.0,17.0,3059.0
softcover notebook,19,4031,334.0,36.0,6346.0
plain paper,12,2288,251.0,28.0,3012.0
notebook with pockets,22,4718,920.0,64.0,20240.0
engineering notebook,21,2679,307.0,18.0,6447.0
personalized notebook,22,4090,660.0,83.0,14520.0
art sketchbook,15,4814,469.0,33.0,7035.0
large notebook,15,3693,354.0,25.0,5310.0
kids notebook,14,1625,203.0,10.0,2842.0
kids notebook,14,4570,572.0,29.0,8008.0
college ruled notebook,23,1138,168.0,13.0,3864.0
travelers notebook,19,4708,646.0,48.0,12274.0
leather cover notebook,23,3763,234.0,23.0,5382.0
personalized notebook,22,4644,749.0,94.0,16478.0
large notebook,15,1761,169.0,12.0,2535.0
kids notebook,14,2833,354.0,18.0,4956.0
kids notebook,14,4596,575.0,29.0,8050.0
notebook with pen holder,25,4979,478.0,66.0,11950.0
recycled paper notebook,24,3302,433.0,34.0,10392.0
travelers notebook,19,4156,570.0,42.0,10830.0
personalized notebook,22,4529,731.0,92.0,16082.0
academic planner notebook,26,2555,217.0,19.0,5642.0
personalized notebook,22,4633,748.0,94.0,16456.0
waterproof notebook,20,1675,311.0,25.0,6220.0
plain paper,12,1091,120.0,14.0,1440.0
college ruled notebook,23,4671,689.0,52.0,15847.0
art sketchbook,15,2092,204.0,14.0,3060.0
large notebook,15,1036,99.0,7.0,1485.0
notebook with pockets,22,4836,943.0,66.0,20746.0
notebook with pen holder,25,2787,267.0,37.0,6675.0
recycled paper notebook,24,3187,418.0,33.0,10032.0
plain paper,12,3914,429.0,49.0,5148.0
college ruled notebook,23,4964,732.0,55.0,16836.0
dotted grid notebook,21,3727,272.0,39.0,5712.0
vintage notebook,17,4637,301.0,19.0,5117.0
spiral bound notebook,22,4969,861.0,50.0,18942.0
art sketchbook,15,2201,215.0,15.0,3225.0
academic planner notebook,26,4880,414.0,37.0,10764.0
travelers notebook,19,2836,389.0,29.0,7391.0
spiral bound notebook,22,2894,501.0,29.0,11022.0
spiral bound notebook,22,4689,812.0,47.0,17864.0
recycled paper notebook,24,1136,149.0,12.0,3576.0
leather cover notebook,23,3237,201.0,20.0,4623.0
dotted grid notebook,21,2663,194.0,28.0,4074.0
large notebook,15,3389,325.0,23.0,4875.0
notebook with pockets,22,2582,503.0,35.0,11066.0
large notebook,15,4076,391.0,28.0,5865.0
softcover notebook,19,1971,164.0,18.0,3116.0
spiral bound notebook,22,4328,750.0,43.0,16500.0
art sketchbook,15,4883,476.0,34.0,7140.0
notebook with pockets,22,1661,324.0,23.0,7128.0
vintage notebook,17,4877,317.0,20.0,5389.0
leather cover notebook,23,3290,204.0,20.0,4692.0
personalized notebook,22,2810,454.0,57.0,9988.0
notebook with pockets,22,4791,934.0,65.0,20548.0
academic planner notebook,26,1414,120.0,11.0,3120.0
large notebook,15,4698,450.0,32.0,6750.0
dotted grid notebook,21,3754,274.0,39.0,5754.0
notebook with pockets,22,1342,262.0,18.0,5764.0
notebook with pockets,22,3729,727.0,51.0,15994.0
engineering notebook,21,4450,510.0,30.0,10710.0
softcover notebook,19,4665,387.0,41.0,7353.0
academic planner notebook,26,4737,401.0,36.0,10426.0
college ruled notebook,23,3700,546.0,41.0,12558.0
notebook with pockets,22,4897,955.0,67.0,21010.0
spiral bound notebook,22,1145,198.0,11.0,4356.0
personalized notebook,22,1322,213.0,27.0,4686.0
dotted grid notebook,21,3169,231.0,33.0,4851.0
college ruled notebook,23,2275,336.0,25.0,7728.0
personalized notebook,22,2878,464.0,59.0,10208.0
dotted grid notebook,21,4970,363.0,52.0,7623.0
vintage notebook,17,3358,218.0,13.0,3706.0
waterproof notebook,20,1600,297.0,24.0,5940.0
engineering notebook,21,1474,169.0,10.0,3549.0
college ruled notebook,23,3617,534.0,40.0,12282.0
hardcover notebook,19,2515,264.0,35.0,5016.0
softcover notebook,19,1574,131.0,14.0,2489.0
leather cover notebook,23,1346,84.0,8.0,1932.0
large notebook,15,3867,371.0,27.0,5565.0
personalized notebook,22,2510,405.0,51.0,8910.0
engineering notebook,21,4544,521.0,31.0,10941.0
spiral bound notebook,22,1381,239.0,14.0,5258.0
softcover notebook,19,2303,191.0,20.0,3629.0
vintage notebook,17,1071,70.0,4.0,1190.0
academic planner notebook,26,3568,302.0,27.0,7852.0
recycled paper notebook,24,4437,582.0,45.0,13968.0
vintage notebook,17,3980,258.0,16.0,4386.0
waterproof notebook,20,2117,393.0,32.0,7860.0
leather cover notebook,23,2396,149.0,15.0,3427.0
large notebook,15,3386,325.0,23.0,4875.0
travelers notebook,19,4508,619.0,46.0,11761.0
travelers notebook,19,2359,324.0,24.0,6156.0
art sketchbook,15,1663,162.0,11.0,2430.0
hardcover notebook,19,2515,264.0,35.0,5016.0
personalized notebook,22,4988,805.0,102.0,17710.0
dotted grid notebook,21,2891,211.0,30.0,4431.0
recycled paper notebook,24,1039,136.0,11.0,3264.0
personalized notebook,22,2382,384.0,48.0,8448.0
notebook with pockets,22,3030,591.0,41.0,13002.0
graph paper notebook,21,3621,375.0,45.0,7875.0
vintage notebook,17,2277,148.0,9.0,2516.0
waterproof notebook,20,1965,365.0,30.0,7300.0
academic planner notebook,26,3628,307.0,27.0,7982.0
notebook with pen holder,25,4469,429.0,59.0,10725.0
recycled paper notebook,24,4828,634.0,49.0,15216.0
dotted grid notebook,21,2900,212.0,31.0,4452.0
art sketchbook,15,3217,314.0,22.0,4710.0
plain paper,12,4761,522.0,59.0,6264.0
leather cover notebook,23,1700,106.0,10.0,2438.0
leather cover notebook,23,1510,94.0,9.0,2162.0
graph paper notebook,21,2283,236.0,28.0,4956.0
college ruled notebook,23,1583,234.0,18.0,5382.0
notebook with pen holder,25,1983,190.0,26.0,4750.0
softcover notebook,19,1458,121.0,13.0,2299.0
academic planner notebook,26,3576,303.0,27.0,7878.0
kids notebook,14,2905,364.0,18.0,5096.0
engineering notebook,21,3388,388.0,23.0,8148.0
notebook with pockets,22,3104,605.0,42.0,13310.0
vintage notebook,17,3265,212.0,13.0,3604.0
academic planner notebook,26,3666,311.0,28.0,8086.0
spiral bound notebook,22,1815,314.0,18.0,6908.0
spiral bound notebook,22,4756,824.0,48.0,18128.0
graph paper notebook,21,3778,391.0,47.0,8211.0
college ruled notebook,23,3511,518.0,39.0,11914.0
personalized notebook,22,1246,201.0,25.0,4422.0
vintage notebook,17,1729,112.0,7.0,1904.0
recycled paper notebook,24,3420,449.0,35.0,10776.0
college ruled notebook,23,1416,209.0,16.0,4807.0
vintage notebook,17,2054,133.0,8.0,2261.0
large notebook,15,1367,131.0,9.0,1965.0
academic planner notebook,26,3606,306.0,27.0,7956.0
academic planner notebook,26,4717,400.0,36.0,10400.0
art sketchbook,15,1107,108.0,8.0,1620.0
engineering notebook,21,3631,416.0,24.0,8736.0
notebook with pen holder,25,1838,176.0,24.0,4400.0
dotted grid notebook,21,1417,103.0,15.0,2163.0
vintage notebook,17,2643,172.0,11.0,2924.0
kids notebook,14,1820,228.0,12.0,3192.0
large notebook,15,2421,232.0,17.0,3480.0
academic planner notebook,26,4343,368.0,33.0,9568.0
notebook with pockets,22,1682,328.0,23.0,7216.0
kids notebook,14,4187,524.0,27.0,7336.0
